geo, 09,                          (lake and subbasin)
 0.191880E+11,                    (subbasin area in sq meters)
1989-01-01, 2000-12-31,           (start date (y-m-d), end date (y-m-d))
  0.26752E+01 ,                   (Tbase, deg. C)
  0.20793E+00 ,                   (snowmelt factor, cm/deg/day)
  0.47754E+00 ,                   (linear reservoir coefficient: percolation, per day)
  0.54656E-08 ,                   (partial linear reservoir coefficient: USZ evap, cubic meters)
  0.10669E+01 ,                   (linear reservoir coefficient: interflow, per day)
  0.36655E+01 ,                   (linear reservoir coefficient: deep percolation, per day)
  0.13677E-07 ,                   (partial linear reservoir coefficient: LSZ evap, cubic meters)
  0.10569E-01 ,                   (linear reservoir coefficient: groundwater, per day)
  0.80656E-01 ,                   (linear reservoir coefficient: surface flow, per day)
  0.20721E+02 ,                   (Cons, calories per square centimeter)
  0.19000E+03 ,                   (mid-monthly Jan daily surface insolation, langleys)
  0.33000E+03 ,                   (mid-monthly Feb daily surface insolation, langleys)
  0.49000E+03 ,                   (mid-monthly Mar daily surface insolation, langleys)
  0.64000E+03 ,                   (mid-monthly Apr daily surface insolation, langleys)
  0.77000E+03 ,                   (mid-monthly May daily surface insolation, langleys)
  0.79000E+03 ,                   (mid-monthly Jun daily surface insolation, langleys)
  0.77000E+03 ,                   (mid-monthly Jul daily surface insolation, langleys)
  0.67000E+03 ,                   (mid-monthly Aug daily surface insolation, langleys)
  0.51000E+03 ,                   (mid-monthly Sep daily surface insolation, langleys)
  0.36000E+03 ,                   (mid-monthly Oct daily surface insolation, langleys)
  0.20000E+03 ,                   (mid-monthly Nov daily surface insolation, langleys)
  0.15000E+03 ,                   (mid-monthly Dec daily surface insolation, langleys)
 0.355000E+00 ,                   (1st empirical linear coefficient [ordinate-intercept] relating ratio of cloudy insolation/cloudless insolation to "cloud cover")
 0.680000E+00 ,                   (2nd empirical linear coefficient [slope] relating ratio of cloudy insolation/cloudless insolation to "cloud cover")
  0.36173E+01 ,                   (upper soil zone capacity, cm)
 Long term air temperature values used for calculation of potential evapotranspiration. deg C
 Day,   Jan,   Feb,   Mar,   Apr,   May,   Jun,   Jul,   Aug,   Sep,   Oct,   Nov,   Dec
   1, -11.2, -12.8,  -8.4,  -0.6,   6.9,  13.1,  17.5,  18.4,  16.1,   9.5,   4.1,  -4.3
   2, -11.4, -12.8,  -8.4,  -0.4,   7.0,  13.1,  17.4,  18.3,  15.9,   9.4,   3.9,  -4.6
   3, -11.0, -12.7,  -8.4,  -0.3,   7.1,  13.1,  17.5,  18.2,  15.7,   9.3,   3.5,  -4.9
   4, -11.2, -12.5,  -8.1,  -0.2,   7.2,  13.2,  17.4,  18.1,  15.6,   9.0,   2.9,  -5.1
   5, -11.1, -12.5,  -7.9,  -0.3,   7.6,  13.5,  17.5,  18.0,  15.5,   8.7,   2.4,  -5.0
   6, -11.3, -12.4,  -7.8,  -0.2,   7.9,  13.9,  17.6,  18.0,  15.2,   8.2,   1.9,  -5.2
   7, -11.9, -12.1,  -7.7,  -0.1,   8.3,  14.4,  17.7,  18.2,  14.9,   7.9,   1.6,  -5.5
   8, -12.8, -12.2,  -7.7,   0.0,   8.6,  14.8,  17.9,  18.2,  14.8,   7.8,   1.3,  -5.9
   9, -13.1, -12.1,  -8.0,   0.3,   8.8,  15.0,  17.9,  18.2,  14.6,   7.7,   1.1,  -6.4
  10, -13.2, -12.0,  -8.1,   0.6,   9.0,  15.1,  18.1,  18.1,  14.3,   7.6,   0.8,  -7.1
  11, -13.5, -12.2,  -7.8,   1.0,   9.1,  15.2,  18.2,  17.8,  14.2,   7.7,   0.5,  -7.6
  12, -13.3, -12.3,  -7.3,   1.5,   9.3,  15.2,  18.3,  17.5,  13.9,   7.7,   0.2,  -7.9
  13, -12.8, -12.2,  -6.8,   2.1,   9.5,  15.4,  18.4,  17.3,  13.6,   7.5,  -0.1,  -8.1
  14, -12.8, -12.0,  -6.1,   2.7,   9.7,  15.6,  18.6,  17.3,  13.2,   7.5,  -0.4,  -8.2
  15, -13.0, -11.8,  -5.8,   3.3,   9.9,  15.8,  18.7,  17.3,  12.8,   7.3,  -0.4,  -8.1
  16, -13.0, -11.5,  -5.7,   3.7,  10.1,  15.9,  18.8,  17.4,  12.4,   7.1,  -0.3,  -8.1
  17, -13.1, -11.2,  -5.4,   4.1,  10.4,  16.0,  18.9,  17.3,  12.3,   6.9,  -0.2,  -8.4
  18, -13.2, -10.6,  -5.2,   4.4,  10.7,  16.1,  18.9,  17.1,  12.2,   6.5,  -0.2,  -8.9
  19, -13.2, -10.0,  -4.9,   4.6,  11.0,  16.0,  19.0,  16.9,  12.1,   6.1,  -0.3,  -9.4
  20, -13.0,  -9.5,  -4.4,   4.7,  11.3,  16.0,  19.0,  16.8,  12.2,   5.8,  -0.5,  -9.8
  21, -12.8,  -9.0,  -3.9,   5.0,  11.6,  16.1,  19.0,  16.6,  12.1,   5.6,  -1.0, -10.0
  22, -12.4,  -8.8,  -3.6,   5.2,  11.8,  16.3,  19.0,  16.4,  11.6,   5.4,  -1.4,  -9.7
  23, -12.2,  -8.9,  -3.5,   5.3,  12.2,  16.3,  19.0,  16.4,  11.0,   5.4,  -2.0,  -9.5
  24, -12.0,  -9.2,  -3.5,   5.4,  12.3,  16.5,  19.0,  16.4,  10.6,   5.4,  -2.5,  -9.5
  25, -11.9,  -9.3,  -3.5,   5.6,  12.3,  16.7,  18.9,  16.6,  10.4,   5.2,  -2.8,  -9.7
  26, -11.9,  -9.3,  -3.1,   5.6,  12.4,  17.0,  18.9,  16.8,  10.1,   5.0,  -3.1, -10.1
  27, -12.3,  -9.1,  -2.7,   5.7,  12.4,  17.2,  18.8,  17.0,  10.0,   4.8,  -3.3, -10.5
  28, -12.7,  -8.9,  -2.2,   6.1,  12.4,  17.4,  18.7,  17.1,   9.9,   4.5,  -3.4, -10.5
  29, -12.9,  -8.6,  -1.6,   6.4,  12.7,  17.5,  18.6,  17.0,   9.8,   4.3,  -3.6, -10.9
  30, -13.1,-999.9,  -1.1,   6.7,  13.0,  17.5,  18.6,  16.7,   9.6,   4.3,  -3.9, -10.7
  31, -13.0,-999.9,  -0.7,-999.9,  13.1,-999.9,  18.5,  16.4,-999.9,   4.3,-999.9, -10.9
